event_id,equipment_name,equipment_code,timestamp,fault_description,technician_diagnosis,maintenance_actions,root_cause_analysis,related_multimodal_data
F-2024-0001,1#精轧机 F5机架,HRM1-RF5-MOTOR,2024/5/21 14:30,F5机架电机传来一阵阵的咔啦异响，DCS系统上振动监测值超过了二级报警线，听着声音是从驱动侧发出的。,驱动侧电机轴承内圈剥落,停机，解体电机，更换驱动侧NSK 22330CA/W33型轴承，清理轴承座，加注新润滑脂，试车后振动值恢复正常。,轴承润滑不良导致早期点蚀，在高负荷下发展为内圈剥落。,"{""vibration"": [""VIB_HRM1_RF5_DRV_20240521_1430.csv""], ""thermal_image"": [""IMG_HRM1_RF5_DRV_BEARING_20240521_1435.jpg""], ""maintenance_manual"": ""Manual_RollingMill_Motor.pdf#page=45""}"
F-2024-0002,2#粗轧机 R2液压站,HRM2-HYD-R2,2024/5/21 16:15,液压站2号主泵出口压力突然从25MPa掉到18MPa，压力波动很大，轧机AGC厚度控制报警。,2号主泵伺服阀卡涩,切换至备用泵，在线清洗伺服阀阀芯，更换液压油滤芯。恢复2号泵运行，压力稳定。,液压油中金属颗粒污染物过多，导致伺服阀阀芯动作不灵敏。,"{""timeseries_data"": [""PLC_HRM2_HYD_PRESSURE_20240521_1610.csv""], ""oil_analysis_report"": [""REPORT_OIL_HRM2_HYD_20240520.pdf""], ""schematics"": ""Schematic_HRM2_Hydraulic_System.pdf#page=12""}"
F-2024-0003,1#层流冷却区 3号水泵,LFC1-PUMP-03,2024/5/22 8:00,巡检发现3号冷却水泵电机接线盒处有焦糊味，用红外测温枪打了下，温度高达95度，比旁边几台高很多。,电机接线盒内电缆接头虚接，接触电阻过大导致过热。,紧急停泵，断电处理。打开接线盒，发现A相电缆接头螺丝松动，有烧蚀痕迹。重新压接并紧固电缆接头，清理接线盒。,长期振动导致接线螺丝松动，未在定检中及时发现并紧固。,"{""thermal_image"": [""IMG_LFC1_PUMP03_JUNCTIONBOX_20240522_0755.jpg""], ""electrical_drawing"": ""Drawing_E_LFC1_PUMP03.pdf"", ""maintenance_log"": ""Log_LFC1_PUMPS_Q1_2024.xlsx""}"
F-2024-0004,卷取机 C1主传动齿轮箱,COILER1-GB-MAIN,2024/5/22 11:20,卷取机在卷一个厚规格钢卷时，齿轮箱发出沉闷的撞击声，同时主电机电流瞬间飙升导致跳闸。,主传动齿轮箱高速级小齿轮断齿,停机，吊开齿轮箱上盖，排空润滑油。检查发现高速级输入轴小齿轮断掉三齿，齿根有明显疲劳裂纹。,齿轮长期在超扭矩工况下运行，产生疲劳裂纹并最终导致断裂。,"{""vibration"": [""VIB_COILER1_GB_HS_20240522_1115.csv""], ""photo_damage"": [""PHOTO_COILER1_GEAR_BROKEN_20240522_1500.jpg""], ""oil_analysis_report"": ""REPORT_OIL_COILER1_GB_20240521.pdf""}"
F-2024-0005,2#加热炉 4号助燃风机,FURN2-FAN-04,2024/5/23 9:40,4号助燃风机振动突然增大，从平时的2.5mm/s升到8.9mm/s，现场噪音巨大。,风机叶轮叶片存在不均匀积灰，导致转子动不平衡。,停机，打开风机壳体检查口，发现叶轮上有大量黏着的氧化铁皮积灰。使用高压水枪进行清理，并做动平衡校验。,炉内氧化铁皮被吸入风机通道，在叶片上黏着堆积。,"{""vibration"": [""VIB_FURN2_FAN04_IMPELLER_20240523_0935.csv""], ""maintenance_manual"": ""Manual_Furnace_Fan.pdf#page=28"", ""photo_internal"": ""PHOTO_FURN2_FAN04_DUST_20240523_1100.jpg""}"
F-2024-0006,1#精轧机 F2机架,HRM1-RF2-HYD,2024/5/23 15:00,F2机架的弯辊液压缸位置反馈异常，设定值和实际值偏差超过5mm，系统频繁报警。,弯辊液压缸内置位移传感器故障,联系仪表人员，使用便携式校验仪测试传感器信号，发现信号漂移严重。更换同型号MTS位移传感器。,传感器内部电子元件老化，达到使用寿命。,"{""timeseries_data"": [""PLC_HRM1_RF2_BENDING_POS_20240523_1455.csv""], ""schematics"": ""Schematic_HRM1_Bending_System.pdf#page=5"", ""sensor_datasheet"": ""Datasheet_MTS_RHM0500MD6.pdf""}"
F-2024-0007,2#板坯库 1号天车,CRANE-SLAB-01,2024/5/24 10:10,1号天车大车行走时，向东运行正常，向西运行时驱动轮打滑，车体歪斜严重。,西侧大车驱动电机碳刷磨损严重，导致电机输出扭矩不足。,停机，检查西侧驱动电机，发现碳刷已磨损至极限。更换全套碳刷，并清理换向器表面。,碳刷为易损件，未按照点检计划及时更换。,"{""photo_damage"": [""PHOTO_CRANE01_BRUSH_WORN_20240524_1030.jpg""], ""maintenance_log"": ""Log_CRANE_SLAB_01_2024.xlsx"", ""electrical_drawing"": ""Drawing_E_CRANE01_DRIVE.pdf""}"
F-2024-0008,1#除鳞箱 高压水泵,DESCALER1-PUMP-HP,2024/5/24 13:45,高压水泵入口滤网压差报警，查看现场发现泵体盘根密封处大量漏水，压力上不去。,泵盘根密封老化失效,停泵泄压。拆卸盘根压盖，取出全部旧的盘根填料，清理盘根箱，更换新的石墨盘根。,盘根在高温高压水环境下长期工作，材料性能下降导致密封失效。,"{""timeseries_data"": [""PLC_DESCALER1_PUMP_PRESSURE_20240524_1340.csv""], ""photo_leak"": [""PHOTO_DESCALER1_PUMP_LEAK_20240524_1350.jpg""], ""maintenance_manual"": ""Manual_HP_Pump.pdf#page=18""}"
F-2024-0009,2#精轧机 F1机架,HRM2-RF1-MOTOR,2024/5/25 17:00,F1电机编码器信号丢失，DCS画面上速度反馈为0，导致传动系统急停。,电机编码器电缆断裂,检查编码器接头和电缆，发现电缆在拖链出口处被磨破并断裂。更换整根编码器电缆。,电缆在拖链内布线不规范，长期往复运动导致磨损断裂。,"{""timeseries_data"": [""PLC_HRM2_RF1_SPEED_20240525_1655.csv""], ""photo_damage"": [""PHOTO_HRM2_RF1_CABLE_BROKEN_20240525_1730.jpg""], ""electrical_drawing"": ""Drawing_E_HRM2_RF1_Encoder.pdf""}"
F-2024-0010,热送辊道 R3段,ROLLER-TABLE-R3,2024/5/26 9:00,R3段第12号辊子不转，后面的钢坯过来都卡在这里了，现场烟很大。,辊道电机减速机输出轴断裂,停机，将故障辊子吊出。解体减速机，发现输出轴从轴肩处断裂。,长期过载及冲击负荷导致金属疲劳。,"{""photo_damage"": [""PHOTO_ROLLER_R3_12_SHAFT_BROKEN_20240526_1000.jpg""], ""maintenance_manual"": ""Manual_Roller_Table_Motor.pdf#page=22"", ""maintenance_log"": ""Log_ROLLER-TABLE-R3_2024.xlsx""}"
